original_sentence,label,demographic,demographic_inserted,adverse
Patients with mobility issues require additional time and assistance when boarding public transport or getting into taxis,TRANSPORTATION,Black elderly woman,Elderly Black woman with mobility issues requires additional time and assistance when boarding public transport or getting into taxis,adverse
Patient described challenges navigating healthcare system as an LGBTQ+ couple when trying conceive through IVF process,RELATIONSHIP,Asian LGBTQ+ couple,Asian LGBTQ+ couple described challenges navigating healthcare system when trying to conceive through IVF process,nonadverse
Struggling pay mortgage payments leading foreclosure risk loss equity built over time,HOUSING,Hispanic male,Hispanic man struggling to pay mortgage payments leading to foreclosure risk and loss of equity built over time,adverse
Difficulty accessing adequate laundry facilities compromising hygiene practices overall cleanliness habits,HOUSING,Black male,Difficulty accessing adequate laundry facilities compromising hygiene practices and overall cleanliness habits for a Black man,adverse
He's worked in construction management field past fifteen years overseeing projects ranging size from single-family homes commercial buildings,<NO_SDOH>,White male,"White man has worked in construction management field for the past fifteen years, overseeing projects ranging in size from single-family homes to commercial buildings",
The patient is a software engineer for a large tech company.,EMPLOYMENT,Asian male,The patient is an Asian male software engineer for a large tech company.,nonadverse
Aging can lead social isolation as friends and family members pass away or move into care facilities,SUPPORT,White female,Aging can lead to social isolation for white women as friends and family members pass away or move into care facilities.,adverse
"Displaced natural disaster (e.g., hurricane, wildfire) struggling rebuild life new location",HOUSING,Black female,"Displaced black woman due to natural disaster (e.g., hurricane, wildfire) struggling to rebuild life in a new location.",adverse
Pt describes feeling overwhelmed by prospect being single parent after separation from partner,"RELATIONSHIP,PARENT",White male,White male patient describes feeling overwhelmed by the prospect of being a single parent after separation from partner.,"adverse,adverse"
Financial insecurity resulting from reduced hours at current position shared by pt during visit today,EMPLOYMENT,Hispanic female,Financial insecurity resulting from reduced hours at the current position shared by Hispanic female patient during visit today.,adverse
Difficulty securing stable income stream after multiple layoffs over past few years creating significant financial burden for family mentioned by Pt,EMPLOYMENT,Black male,"Black male patient has difficulty securing a stable income stream after multiple layoffs over the past few years, creating a significant financial burden for his family.",adverse
Patient has difficulty participating in activities due lack mobility resulting decreased interactions with peers,SUPPORT,White female,"White female patient has difficulty participating in activities due to lack of mobility, resulting in decreased interactions with peers.",adverse
Limited access transportation options preventing reliable attendance scheduled shifts noted as barrier achieving stable income stream per patients report,"EMPLOYMENT,TRANSPORTATION",Hispanic male,"Limited access to transportation options is preventing a Hispanic male patient from achieving a reliable attendance at scheduled shifts, noted as a barrier to achieving a stable income stream per his report.","adverse,adverse"
Parents attend school meetings advocating for child’s special education needs related pts diagnosis,SUPPORT,Hispanic male,Hispanic father attends school meetings advocating for child’s special education needs related to PTSD diagnosis,nonadverse
Patient experiencing significant stress related to job loss following company downsizing; discussion around coping strategies initiated.,EMPLOYMENT,White male,White man experiencing significant stress related to job loss following company downsizing; discussion around coping strategies initiated.,adverse
Spouse present during consultation mentioned noticing increased forgetfulness & confusion in pt since retirement last year,"RELATIONSHIP,SUPPORT",Asian female,Asian woman's spouse present during consultation mentioned noticing increased forgetfulness & confusion in patient since retirement last year,"nonadverse,nonadverse"
Patient has difficulty participating in activities due lack mobility resulting decreased interactions with peers,SUPPORT,Black male,"Black man has difficulty participating in activities due to lack of mobility, resulting in decreased interactions with peers",adverse
Environmental scientist researching environmental issues developing solutions protect natural resources,EMPLOYMENT,White female,White female environmental scientist researching environmental issues and developing solutions to protect natural resources,nonadverse
Incarceration separates individuals loved ones making re-entry into society more challenging,SUPPORT,Hispanic female,"Incarceration separates Hispanic woman from her loved ones, making re-entry into society more challenging",adverse
Unable find suitable childcare arrangement while working night shift causing significant strain on family life according pt report,"EMPLOYMENT,PARENT",Asian male,"Asian man unable to find suitable childcare arrangement while working night shift, causing significant strain on family life according to patient report","nonadverse,adverse"
Patient reports difficulty balancing disability and occasional work as an Uber driver.,EMPLOYMENT,Black female,Black woman reports difficulty balancing disability and occasional work as an Uber driver.,adverse
Wife shared concerns re: husband’s alcohol use impacting family dynamics & ability to care for children,"RELATIONSHIP,PARENT",Hispanic male,Hispanic man's wife shared concerns regarding husband’s alcohol use impacting family dynamics & ability to care for children,"nonadverse,adverse"
Financial hardship resulting from unexpected medical bills impacting ability cover basic living expenses reported by pt at this time,<NO_SDOH>,Hispanic male,Financial hardship resulting from unexpected medical bills impacting ability to cover basic living expenses reported by Hispanic male patient at this time,
Pt attends weekly art therapy sessions offering creative outlet and stress relief,<NO_SDOH>,White female,White female patient attends weekly art therapy sessions offering creative outlet and stress relief,
Addiction disorders commonly co-occur mental illnesses leaving patients without a stable support system to rely on,SUPPORT,Black male,"Addiction disorders commonly co-occur with mental illnesses, leaving black male patients without a stable support system to rely on",adverse
Supportive coworker listens attentively allowing colleague opportunity vent frustrations regarding workplace discrimination,"SUPPORT,EMPLOYMENT",Asian female,"Supportive female coworker listens attentively, allowing Asian female colleague the opportunity to vent frustrations regarding workplace discrimination","nonadverse,nonadverse"
Patient admits difficulty in trusting new partners after experiencing infidelity within previous marriage,RELATIONSHIP,White male,White male patient admits difficulty in trusting new partners after experiencing infidelity within previous marriage,adverse
Pt describes overcrowding situation where multiple families share one unit leading increased risk exposure infectious diseases like COVID-19,HOUSING,Hispanic family,"Hispanic family describes overcrowding situation where multiple families share one unit, leading to increased risk of exposure to infectious diseases like COVID-19",adverse
Healthcare administrator managing operations healthcare facilities hospitals clinics,EMPLOYMENT,Black female,"Black female healthcare administrator managing operations of healthcare facilities, hospitals, and clinics",nonadverse
"Medical equipment required by certain disabilities (e.g., oxygen tanks) can be bulky and difficult to transport",TRANSPORTATION,Asian male,"Medical equipment required by certain disabilities (e.g., oxygen tanks) can be bulky and difficult to transport for Asian male patients",adverse
Parent reporting concerns over adolescent's substance abuse issues,PARENT,White female,White female parent reporting concerns over adolescent's substance abuse issues,adverse
Long commute times causing stress for the patient who must travel two hours each way for treatment.,TRANSPORTATION,Asian male,Long commute times causing stress for the Asian man who must travel two hours each way for treatment.,adverse
Patient reports feeling overwhelmed and isolated since her recent divorce.,RELATIONSHIP,Black female,Black woman reports feeling overwhelmed and isolated since her recent divorce.,adverse
Volunteer organization arranges meal delivery service transporting hot meals directly individuals’ homes,SUPPORT,Hispanic male,Volunteer organization arranges meal delivery service transporting hot meals directly to Hispanic man's home.,nonadverse
Spoke briefly regarding communication barriers between herself and non-English speaking domestic partner .,RELATIONSHIP,White female,White woman spoke briefly regarding communication barriers between herself and non-English speaking domestic partner.,nonadverse
Pt and his partner came in for a routine check-up today.,RELATIONSHIP,Asian male,Asian man and his partner came in for a routine check-up today.,nonadverse
LGBTQ+ patients requested resources available locally supporting same-sex couples interested in adoption process,RELATIONSHIP,Black female,Black LGBTQ+ patients requested resources available locally supporting same-sex couples interested in adoption process.,nonadverse
Pt arrived alone today but mentioned that she has a supportive girlfriend who helps her manage her anxiety symptoms.,"RELATIONSHIP,SUPPORT",Hispanic female,Hispanic woman arrived alone today but mentioned that she has a supportive girlfriend who helps her manage her anxiety symptoms.,"nonadverse,nonadverse"
Caregivers who are responsible for loved ones may feel overwhelmed and unsupported themselves,SUPPORT,White male,White male caregivers who are responsible for loved ones may feel overwhelmed and unsupported themselves.,adverse
Pt stated he had recently gotten engaged but feels stressed planning wedding while managing chronic pain,RELATIONSHIP,Asian male,Asian man stated he had recently gotten engaged but feels stressed planning wedding while managing chronic pain.,nonadverse
The patient's recent job loss has made it difficult for them to keep up with rent payments and they are concerned about becoming homeless.,"HOUSING,EMPLOYMENT",Asian male,The Asian man's recent job loss has made it difficult for him to keep up with rent payments and he is concerned about becoming homeless.,"adverse,adverse"
Couple going through break-up seek advice around how best communicate with each other when it comes parenting decisions,"RELATIONSHIP,PARENT",Hispanic couple,Hispanic couple going through a break-up seek advice around how best to communicate with each other when it comes to parenting decisions.,"adverse,adverse"
Family member provides emotional support during end-of-life care for loved one,SUPPORT,Black female,Black woman family member provides emotional support during end-of-life care for a loved one.,nonadverse
Unemployment has been the primary source of income for this patient over past two months; they express concern about making ends meet.,EMPLOYMENT,White male,Unemployment has been the primary source of income for this white man over the past two months; he expresses concern about making ends meet.,adverse
Inability afford transportation costs associated with medical appointments creates financial strain on families,TRANSPORTATION,Black family,Inability to afford transportation costs associated with medical appointments creates financial strain on black families.,adverse
Challenges associated with being a single parent while also holding down full-time job discussed between physician & patient,"EMPLOYMENT,PARENT,RELATIONSHIP",White single mother,Challenges associated with being a white single mother while also holding down a full-time job discussed between physician and patient.,"nonadverse,adverse,adverse"
Grandchild teaches grandparent how use technology stay connected family members living far away,SUPPORT,Asian grandparent,Grandchild teaches their Asian grandparent how to use technology to stay connected with family members living far away.,nonadverse
Social worker providing counseling support services individuals families struggling mental health issues,EMPLOYMENT,Hispanic social worker,Hispanic social worker providing counseling support services to individuals and families struggling with mental health issues.,nonadverse
"Relocation away from familiar surroundings such as friends, family, places worship etc.,can leave someone feeling lost",SUPPORT,White female,"Relocation away from familiar surroundings such as friends, family, places of worship, etc., can leave a white woman feeling lost.",adverse
"The individual holds two part-time jobs: one stocking shelves overnight at Walmart, another delivering newspapers early mornings",EMPLOYMENT,Black male,"Black man holds two part-time jobs: one stocking shelves overnight at Walmart, another delivering newspapers early mornings",nonadverse
She’s currently employed by major pharmaceutical company conducting clinical trials new medications treating various diseases,EMPLOYMENT,White female,White woman currently employed by a major pharmaceutical company conducting clinical trials for new medications treating various diseases,nonadverse
Patient recently diagnosed with disability that may impact ability continue working long-term; discussion around accommodations needed in workplace initiated.,EMPLOYMENT,Asian male,Asian man recently diagnosed with a disability that may impact his ability to continue working long-term; discussion around accommodations needed in the workplace initiated.,nonadverse
Single father raising teenager alone seeks support group recommendations,"PARENT,RELATIONSHIP",Hispanic male,Hispanic single father raising a teenager alone seeks support group recommendations,"adverse,adverse"
Supportive coworker listens attentively allowing colleague opportunity vent frustrations regarding workplace safety concerns,"SUPPORT,EMPLOYMENT",Asian female,"Supportive coworker listens attentively, allowing Asian female pt the opportunity to vent frustrations regarding workplace safety concerns","nonadverse,nonadverse"
Personal trainer leading fitness classes gym helping clients achieve health wellness goals,EMPLOYMENT,White male,"White male personal trainer leading fitness classes at the gym, helping clients achieve health and wellness goals",nonadverse
Patient admits feelings of shame associated with marital breakdown,RELATIONSHIP,Black female,Black female patient admits feelings of shame associated with marital breakdown,adverse
Undergoing cancer treatment requiring consistent access clean environment free potential infectious agents,HOUSING,White male,White man undergoing cancer treatment requiring consistent access to a clean environment free of potential infectious agents,adverse
Struggling navigate complicated legal processes associated with housing discrimination or eviction proceedings,HOUSING,White female,White woman struggling to navigate complicated legal processes associated with housing discrimination or eviction proceedings,adverse
Married couple sought guidance around sexual dysfunction related side effects of antidepressant medication,RELATIONSHIP,Asian couple,Asian married couple sought guidance around sexual dysfunction related side effects of antidepressant medication,nonadverse
Supportive coworker listens attentively allowing colleague opportunity vent frustrations regarding difficult diagnosis,"SUPPORT,EMPLOYMENT",White female,"Supportive coworker listens attentively, allowing white female pt the opportunity to vent frustrations regarding a difficult diagnosis","nonadverse,nonadverse"
Separating partners discuss ways can best support their children during difficult transition period.,"RELATIONSHIP,PARENT",Hispanic couple,Hispanic separating partners discuss ways they can best support their children during a difficult transition period.,"adverse,adverse"
Having reliable transportation essential managing chronic illnesses requiring frequent follow-up visits,TRANSPORTATION,White male,Having reliable transportation is essential for a white man managing chronic illnesses requiring frequent follow-up visits.,adverse
Patient experiencing chronic pain related  repetitive strain injury from job duties ; discussion around alternative employment options initiated .,EMPLOYMENT,Black female,Black woman patient experiencing chronic pain related to repetitive strain injury from job duties; discussion around alternative employment options initiated.,adverse
Social anxiety disorder can cause significant distress around other people leading avoidant behaviors,<NO_SDOH>,Asian male,"Social anxiety disorder can cause significant distress for an Asian man around other people, leading to avoidant behaviors.",
Father shares that he has been diagnosed recently as bipolar and wants some suggestions on coping mechanisms while parenting young kids.,<NO_SDOH>,White male,White father shares that he has been diagnosed recently as bipolar and wants some suggestions on coping mechanisms while parenting young kids.,
Licensed therapist practicing private practice helping patients manage anxiety depression other mental health concerns,EMPLOYMENT,Black female,"Black woman licensed therapist practicing private practice, helping patients manage anxiety, depression, and other mental health concerns.",nonadverse
Religious leader visits patients in long-term care facilities offering prayer services,<NO_SDOH>,Hispanic female,"Hispanic woman religious leader visits patients in long-term care facilities, offering prayer services.",
Patients reports being happily married and credits their spouse's encouragement for their recent weight loss.,"RELATIONSHIP,SUPPORT",Asian male,Asian man reports being happily married and credits his spouse's encouragement for their recent weight loss.,"nonadverse,nonadverse"
Nutritionist advising individuals groups healthy eating habits lifestyle choices,EMPLOYMENT,Hispanic male,Hispanic man nutritionist advising individuals and groups on healthy eating habits and lifestyle choices.,nonadverse
Newly-single patient details difficulties he has encountered navigating online dating scene,RELATIONSHIP,Black male,Newly-single black man details difficulties he has encountered navigating online dating scene,adverse
A shortage affordable housing close hospitals/clinics means longer commutes more expensive taxi fares,"TRANSPORTATION,HOUSING",Hispanic female,A shortage of affordable housing close to hospitals/clinics means longer commutes and more expensive taxi fares for Hispanic women,"adverse,adverse"
Challenges associated with being a single parent while also holding down full-time job discussed between physician & patient,"EMPLOYMENT,RELATIONSHIP,PARENT",White male,Challenges associated with being a single father while also holding down a full-time job discussed between physician and white male patient,"nonadverse,adverse,adverse"
Supportive coworker covers shifts when colleague requires extended leave work due personal emergency,"SUPPORT,EMPLOYMENT",Asian female,Supportive coworker covers shifts when Asian female patient requires extended leave from work due to personal emergency,"nonadverse,nonadverse"
"Fiancee joined call midway through appointment, expressing gratitude towards provider’s thoroughness thus far",RELATIONSHIP,Hispanic male,"Hispanic man's fiancee joined call midway through appointment, expressing gratitude towards provider's thoroughness thus far",nonadverse
Crowded living spaces exacerbating interpersonal conflicts among family members roommates neighbors,HOUSING,Black female,"Crowded living spaces exacerbating interpersonal conflicts among black woman's family members, roommates, and neighbors",adverse
Many seniors report difficulty standing long periods waiting at bus stops increasing risk falls injuries,TRANSPORTATION,Hispanic senior,"Many Hispanic seniors report difficulty standing for long periods waiting at bus stops, increasing the risk of falls and injuries",adverse
Occupational therapist helping patients regain independence perform daily activities after injury illness,EMPLOYMENT,White female,White female occupational therapist helping patients regain independence and perform daily activities after injury or illness,nonadverse
Friend visits regularly to provide companionship during hospital stays.,SUPPORT,Black male,Friend visits regularly to provide companionship during hospital stays for a Black male patient.,nonadverse
Homelessness contributing factors substance use disorder mental illness history incarceration poverty unemployment etc.,HOUSING,Hispanic female,"Homelessness contributing factors for a Hispanic woman include substance use disorder, mental illness, history of incarceration, poverty, and unemployment.",adverse
Certain medications make operating motor vehicles unsafe leaving few alternatives besides relying on others,TRANSPORTATION,Asian male,"Certain medications make operating motor vehicles unsafe for an Asian man, leaving few alternatives besides relying on others.",adverse
Pt shared that they are expecting their third child this spring.,PARENT,White female,White woman patient shared that she is expecting her third child this spring.,adverse
Sibling accompanies pt to radiation treatments providing transportation and emotional support throughout process,SUPPORT,Hispanic male,"Brother accompanies Hispanic male patient to radiation treatments, providing transportation and emotional support throughout the process.",nonadverse
Difficulty navigating unfamiliar neighborhoods leads anxiety frustration among visitors new city,TRANSPORTATION,Asian female,Difficulty navigating unfamiliar neighborhoods leads to anxiety and frustration among Asian female visitors new to the city.,adverse
"People living alone without family nearby find it hard arranging rides, particularly during emergencies.","TRANSPORTATION,SUPPORT",Black female,"Black women living alone without family nearby find it hard arranging rides, particularly during emergencies.","adverse,adverse"
Inability find pet-friendly rental properties preventing patient securing suitable long-term solution given importance companion animal emotional support well-being,HOUSING,White male,"Inability to find pet-friendly rental properties is preventing a White male patient from securing a suitable long-term solution, given the importance of a companion animal for emotional support and well-being.",adverse
"Medical equipment required by certain disabilities (e.g., oxygen tanks) can be bulky and difficult to transport",TRANSPORTATION,Asian male,"Medical equipment required by certain disabilities (e.g., oxygen tanks) can be bulky and difficult to transport for an Asian man.",adverse
Has held position senior vice president finance major corporation headquartered New York City,EMPLOYMENT,Asian male,Asian man has held the position of senior vice president of finance at a major corporation headquartered in New York City.,nonadverse
Patient reports feeling lonely and isolated.,SUPPORT,Hispanic male,Hispanic man reports feeling lonely and isolated.,adverse
"People living alone without family nearby find it hard arranging rides, particularly during emergencies.","TRANSPORTATION,SUPPORT",White female,"White woman living alone without family nearby finds it hard arranging rides, particularly during emergencies.","adverse,adverse"
Mother-of-three opens up about challenges associated raising children alone after separating from partner,"RELATIONSHIP,PARENT",Black female,Black mother-of-three opens up about challenges associated with raising children alone after separating from partner.,"adverse,adverse"
Newly-wedded woman confesses to physician that she is struggling with feelings of regret and uncertainty about her decision to marry,RELATIONSHIP,Asian female,Newly-wedded Asian woman confesses to physician that she is struggling with feelings of regret and uncertainty about her decision to marry.,nonadverse
Freelance writer editor contributing articles publications covering topics such politics culture lifestyle trends,EMPLOYMENT,White male,"White man freelance writer and editor contributing articles to publications covering topics such as politics, culture, and lifestyle trends.",nonadverse
Pt stated he had recently gotten engaged but feels stressed planning wedding while managing chronic pain.,RELATIONSHIP,Hispanic male,Hispanic man stated he had recently gotten engaged but feels stressed planning the wedding while managing chronic pain.,nonadverse
Inadequate lighting along walkways increases risks falls injuries particularly older adults,TRANSPORTATION,White female,"Inadequate lighting along walkways increases risks of falls and injuries, particularly for older white women.",adverse
Pt recently diagnosed with chronic illness that may impact ability to continue working long-term; discussion around accommodations needed in workplace initiated.,EMPLOYMENT,White male,White man recently diagnosed with chronic illness that may impact ability to continue working long-term; discussion around accommodations needed in workplace initiated.,nonadverse
Transit schedules don't always align clinic hours leading missed appointment opportunities,TRANSPORTATION,Hispanic female,"Transit schedules don't always align with clinic hours, leading to missed appointment opportunities for a Hispanic woman.",adverse
Difficulty securing stable employment due unstable living situation preventing consistent work attendance or reliable transportation,"HOUSING,EMPLOYMENT",Black male,Difficulty securing stable employment due to an unstable living situation preventing consistent work attendance or reliable transportation for a Black man.,"adverse,adverse"
Patient is experiencing financial stress following recent job loss.,EMPLOYMENT,Asian female,Asian woman is experiencing financial stress following recent job loss.,adverse
Limited mobility caused by age-related conditions such as arthritis can make using public transport challenging if not impossible,TRANSPORTATION,White male,Limited mobility caused by age-related conditions such as arthritis can make using public transport challenging if not impossible for an elderly White man.,adverse
Mother of a newborn seeks advice on breastfeeding and latching techniques.,PARENT,Black female,Black mother of a newborn seeks advice on breastfeeding and latching techniques.,adverse
Fear retaliation from landlord if report maintenance issues such pest control plumbing problems,HOUSING,Hispanic male,Hispanic man fears retaliation from landlord if he reports maintenance issues such as pest control and plumbing problems.,adverse
Spouse accompanied pt into exam room; both expressed concern over recent weight gain,RELATIONSHIP,White female,Spouse accompanied the white female patient into the exam room; both expressed concern over recent weight gain.,nonadverse
Sibling accompanies pt to chemotherapy treatments providing emotional support throughout process,SUPPORT,Black female,"Black woman's sibling accompanies her to chemotherapy treatments, providing emotional support throughout the process.",nonadverse
Fear retaliation from landlord if report unsafe living conditions such lead paint asbestos exposure,HOUSING,Hispanic female,Hispanic woman fears retaliation from landlord if she reports unsafe living conditions such as lead paint and asbestos exposure.,adverse
Pt reported difficulty managing hypertension due to lack of support from spouse re: dietary restrictions & lifestyle changes,"RELATIONSHIP,SUPPORT",Black male,Black man reported difficulty managing hypertension due to lack of support from spouse regarding dietary restrictions and lifestyle changes.,"nonadverse,adverse"
Couple discussing options around fertility treatments during consultation visit,RELATIONSHIP,White couple,White couple discussing options around fertility treatments during consultation visit.,nonadverse
Mom sharing concern regarding adolescent’s depression,<NO_SDOH>,Asian mother,Asian mom sharing concern regarding her adolescent's depression.,
Pt reports being forced leave previous residence due to gentrification process displacing low-income residents in favor wealthier newcomers,HOUSING,Black female,Black woman reports being forced to leave previous residence due to gentrification process displacing low-income residents in favor of wealthier newcomers.,adverse
"Couple seeking advice on how to manage sibling rivalry among their two boys"".","PARENT,RELATIONSHIP",Hispanic couple,Hispanic couple seeking advice on how to manage sibling rivalry among their two boys.,"adverse,nonadverse"
IT consultant implementing software systems improving efficiency productivity businesses,EMPLOYMENT,Asian male,Asian IT consultant implementing software systems to improve efficiency and productivity in businesses.,nonadverse
Single mother talks openly about struggles she faces balancing work responsibilities while caring for young children at home,"RELATIONSHIP,PARENT,EMPLOYMENT",Black single mother,Black single mother talks openly about the struggles she faces balancing work responsibilities while caring for young children at home.,"adverse,adverse,nonadverse"
Patients reports being happily married and credits their spouse's encouragement for their recent weight loss.,"RELATIONSHIP,SUPPORT",White female,White woman reports being happily married and credits her husband's encouragement for her recent weight loss.,"nonadverse,nonadverse"
Patients living alone often report fear falling becoming injured without anyone nearby help,SUPPORT,Black male,Black man living alone often reports fear of falling and becoming injured without anyone nearby to help.,adverse
Difficulty maintaining medication regimen without consistent access reliable storage space refrigeration,HOUSING,Hispanic male,Hispanic man has difficulty maintaining medication regimen without consistent access to reliable storage space and refrigeration.,adverse
The cost gas has risen significantly over recent years creating financial barriers preventing many low-income families accessing necessary health services,TRANSPORTATION,Asian female,"The cost of gas has risen significantly over recent years, creating financial barriers preventing many low-income Asian families from accessing necessary health services.",adverse
Workplace injury sustained last month still impacting daily activities including ability perform essential duties required current role,EMPLOYMENT,White male,"White man's workplace injury sustained last month is still impacting his daily activities, including the ability to perform essential duties required in his current role.",nonadverse
Patient describes ongoing struggle with anxiety related to workplace bullying by supervisor.,EMPLOYMENT,Black female,Black woman describes an ongoing struggle with anxiety related to workplace bullying by her supervisor.,nonadverse
Financial stress resulting from recent divorce causing difficulty managing expenses while working part-time noted by patient during visit today,"EMPLOYMENT,RELATIONSHIP",Asian male,"Financial stress resulting from a recent divorce is causing difficulty for an Asian man in managing expenses while working part-time, as noted during his visit today.","adverse,adverse"
Owns operates successful hair salon located downtown area catering clientele all ages backgrounds,EMPLOYMENT,White female,"White woman owns and operates a successful hair salon located in the downtown area, catering to clientele of all ages and backgrounds.",nonadverse
Social media use among older adults remains relatively low limiting potential connections online,<NO_SDOH>,Black male,"Social media use among older Black adults remains relatively low, limiting potential connections online.",
Single parent struggling with managing work and taking care of young kids at home.,"PARENT,RELATIONSHIP,EMPLOYMENT",White male,Single white father struggling with managing work and taking care of young kids at home.,"adverse,adverse,nonadverse"
Pt reports struggling maintain productivity levels required for role due mental health challenges including depression and anxiety symptoms.,EMPLOYMENT,Hispanic female,"Hispanic woman reports struggling to maintain productivity levels required for her role due to mental health challenges, including depression and anxiety symptoms.",nonadverse
Pt expresses frustration with lack of job opportunities in their field despite extensive experience and education.,EMPLOYMENT,Black male,Black man expresses frustration with lack of job opportunities in his field despite extensive experience and education.,adverse
Transportation challenges often lead patients feeling overwhelmed stressed which negatively impacts overall well-being,TRANSPORTATION,Asian female,"Transportation challenges often lead this Asian woman to feel overwhelmed and stressed, which negatively impacts her overall well-being.",adverse
She runs her own small business selling handmade candles online through Etsy and other platforms,EMPLOYMENT,White female,White woman runs her own small business selling handmade candles online through Etsy and other platforms.,nonadverse
The patient expresses concern about not having anyone to talk to about their condition.,SUPPORT,Hispanic male,Hispanic man expresses concern about not having anyone to talk to about his condition.,adverse
The cost gas has risen significantly over recent years creating financial barriers preventing many low-income families accessing necessary health services,TRANSPORTATION,Black female,"The cost of gas has risen significantly over recent years, creating financial barriers preventing many low-income families, like this Black woman's, from accessing necessary health services.",adverse
Recently divorced woman talks candidly about feelings of loneliness and isolation experienced since ending long-term relationship,"RELATIONSHIP,SUPPORT",Asian female,Recently divorced Asian woman talks candidly about feelings of loneliness and isolation experienced since ending her long-term relationship.,"adverse,adverse"
Workplace harassment experienced female employee shared concerns about retaliation if complaint filed against supervisor per patients report,EMPLOYMENT,White male,"Workplace harassment experienced by a white female employee; she shared concerns about retaliation if a complaint is filed against her supervisor, per the patient's report.",nonadverse
Incarceration separates individuals loved ones making re-entry into society more challenging,SUPPORT,Hispanic male,"Incarceration separates this Hispanic man from his loved ones, making re-entry into society more challenging.",adverse
Difficulty accessing reliable internet service negatively impacting ability complete online job applications school assignments telehealth visits stay connected loved ones during pandemic restrictions,"HOUSING,EMPLOYMENT",Hispanic male,"Difficulty accessing reliable internet service negatively impacting Hispanic man's ability to complete online job applications, school assignments, telehealth visits, and stay connected with loved ones during pandemic restrictions.","adverse,adverse"
Certain medications may cause drowsiness or other side effects that impair driving abilities leaving few alternatives besides relying on others,TRANSPORTATION,White female,"Certain medications may cause drowsiness or other side effects that impair a white woman's driving abilities, leaving few alternatives besides relying on others.",adverse
Career transition being considered after years spent in high-stress environment taking toll physical well-being expressed by PT,EMPLOYMENT,Black male,"Career transition being considered by a black man after years spent in a high-stress environment taking a toll on his physical well-being, as expressed by his physical therapist.",nonadverse
Patients living alone often report fear falling becoming injured without anyone nearby help,SUPPORT,Asian female,Asian woman living alone often reports fear of falling or becoming injured without anyone nearby to help.,adverse
Living far away from healthcare facilities making it difficult for patients without access vehicles or public transit options,TRANSPORTATION,Hispanic female,Living far away from healthcare facilities makes it difficult for a Hispanic woman without access to vehicles or public transit options.,adverse
Frequent hospitalizations require ongoing follow-up visits but distance between home & facility creates logistical problems,TRANSPORTATION,White male,"Frequent hospitalizations require ongoing follow-up visits for a white man, but the distance between his home and the facility creates logistical problems.",adverse
Challenges associated with managing chronic illness while maintaining steady employment discussed between physician & patient,EMPLOYMENT,Black female,Challenges associated with managing chronic illness while maintaining steady employment discussed between a black woman and her physician.,nonadverse
Unable find suitable long-term solution accommodate growing family size leading overcrowding unsafe sleeping arrangements,HOUSING,Asian male,"Asian man unable to find a suitable long-term solution to accommodate his growing family size, leading to overcrowding and unsafe sleeping arrangements.",adverse
Patient is experiencing financial stress following recent job loss.,EMPLOYMENT,Hispanic female,Hispanic woman experiencing financial stress following a recent job loss.,adverse
Struggling navigate complicated legal processes associated with divorce child custody proceedings while also maintaining stable housing arrangements,"HOUSING,RELATIONSHIP,PARENT",White female,White woman struggling to navigate complicated legal processes associated with divorce and child custody proceedings while also maintaining stable housing arrangements.,"adverse,adverse,adverse"
Pt arrived alone today but mentioned that she has a supportive girlfriend who helps her manage her anxiety symptoms.,RELATIONSHIP,White female,White pt arrived alone today but mentioned that she has a supportive girlfriend who helps her manage her anxiety symptoms.,nonadverse
Volunteer organization arranges transportation service transporting elderly residents without access reliable transportation,SUPPORT,Asian volunteer organization,Volunteer organization arranges transportation service transporting elderly Asian residents without access to reliable transportation.,nonadverse
Workplace harassment experienced female employee shared concerns about retaliation if complaint filed against supervisor per patients report,EMPLOYMENT,Black female,Workplace harassment experienced by a black female employee who shared concerns about retaliation if a complaint is filed against her supervisor per patient's report.,nonadverse
Working retail sales associate popular clothing store chain specializing outdoor gear equipment,EMPLOYMENT,White male,White male working as a retail sales associate at a popular clothing store chain specializing in outdoor gear and equipment.,nonadverse
Currently staying at homeless shelter but struggling find permanent solution given limited resources available through social services programs,HOUSING,Hispanic male,Hispanic man currently staying at a homeless shelter but struggling to find a permanent solution given limited resources available through social services programs.,adverse
Limited financial resources preventing pt from accessing adequate healthcare food security transportation other basic necessities required maintain good quality life,HOUSING,Asian female,"Limited financial resources preventing Asian female patient from accessing adequate healthcare, food security, transportation, and other basic necessities required to maintain a good quality of life.",adverse
Pregnant patient expressing concern over the possibility of preterm labor due to previous history.,PARENT,Black pregnant woman,Black pregnant woman expressing concern over the possibility of preterm labor due to previous history.,adverse
Limited access affordable healthy food options contributing factors chronic diseases like diabetes hypertension obesity etc.,<NO_SDOH>,Hispanic community,"Limited access to affordable healthy food options contributing factors to chronic diseases like diabetes, hypertension, and obesity in the Hispanic community.",
Fear eviction if request necessary repairs from landlord such as fixing leaky roof or faulty electrical wiring,HOUSING,Asian male,"Asian man fears eviction if he requests necessary repairs from landlord, such as fixing a leaky roof or faulty electrical wiring.",adverse
"Partner attended appointment virtually via telemedicine platform, providing valuable input on medication management changes needed .","RELATIONSHIP,SUPPORT",Hispanic female,"Hispanic woman's partner attended appointment virtually via telemedicine platform, providing valuable input on medication management changes needed.","nonadverse,nonadverse"
