text,label,adverse
Pt reports being forced leave previous residence due to gentrification process displacing low-income residents in favor wealthier newcomers,HOUSING,adverse
"Couple seeking advice on how to manage sibling rivalry among their two boys"".","PARENT,RELATIONSHIP","adverse,nonadverse"
IT consultant implementing software systems improving efficiency productivity businesses,EMPLOYMENT,nonadverse
Single mother talks openly about struggles she faces balancing work responsibilities while caring for young children at home,"RELATIONSHIP,PARENT,EMPLOYMENT","adverse,adverse,nonadverse"
Her work involves conducting research studies related mental health disorders funded by National Institutes Health (NIH),EMPLOYMENT,nonadverse
Parent reporting behavioral issues related to ADHD diagnosis,PARENT,adverse
Struggling navigate complicated legal processes associated with housing discrimination or eviction proceedings,HOUSING,adverse
Teacher assistant working with special needs students elementary school district,EMPLOYMENT,nonadverse
" Parent shares that she has been diagnosed recently as bipolar and wants some suggestions on coping mechanisms while parenting young kids"".",PARENT,adverse
Difficulty securing stable employment due unstable living situation preventing consistent work attendance or reliable transportation,"HOUSING,EMPLOYMENT","adverse,adverse"
Pt reports being forced leave previous residence due to landlord selling property without adequate notice,HOUSING,adverse
Newly-single patient reflects upon newfound freedom but also acknowledges loneliness experienced since marital breakdown,RELATIONSHIP,adverse
Widowed individual expresses desire for more social interaction,RELATIONSHIP,adverse
Patients reports being happily married and credits their spouse's encouragement for their recent weight loss.,"RELATIONSHIP,SUPPORT","nonadverse,nonadverse"
Patients living alone often report fear falling becoming injured without anyone nearby help,SUPPORT,adverse
Difficulty maintaining medication regimen without consistent access reliable storage space refrigeration,HOUSING,adverse
The cost gas has risen significantly over recent years creating financial barriers preventing many low-income families accessing necessary health services,TRANSPORTATION,adverse
Workplace injury sustained last month still impacting daily activities including ability perform essential duties required current role,EMPLOYMENT,nonadverse
Patient describes ongoing struggle with anxiety related to workplace bullying by supervisor.,EMPLOYMENT,nonadverse
Single father seeks advice on how best to support his teenage daughter through difficult emotional period following parents’ divorce,"RELATIONSHIP,PARENT","adverse,adverse"
Financial stress resulting from recent divorce causing difficulty managing expenses while working part-time noted by patient during visit today,"EMPLOYMENT,RELATIONSHIP","adverse,adverse"
Owns operates successful hair salon located downtown area catering clientele all ages backgrounds,EMPLOYMENT,nonadverse
Single parent struggling with managing work and taking care of young kids at home.,"PARENT,RELATIONSHIP,EMPLOYMENT","adverse,adverse,nonadverse"
Pt reports struggling maintain productivity levels required for role due mental health challenges including depression and anxiety symptoms.,EMPLOYMENT,nonadverse
Pt expresses frustration with lack of job opportunities in their field despite extensive experience and education.,EMPLOYMENT,adverse
Transportation challenges often lead patients feeling overwhelmed stressed which negatively impacts overall well-being,TRANSPORTATION,adverse
She runs her own small business selling handmade candles online through Etsy and other platforms,EMPLOYMENT,nonadverse
The patient expresses concern about not having anyone to talk to about their condition.,SUPPORT,adverse
The cost gas has risen significantly over recent years creating financial barriers preventing many low-income families accessing necessary health services,TRANSPORTATION,adverse
Recently divorced woman talks candidly about feelings of loneliness and isolation experienced since ending long-term relationship,"RELATIONSHIP,SUPPORT","adverse,adverse"
Workplace harassment experienced female employee shared concerns about retaliation if complaint filed against supervisor per patients report,EMPLOYMENT,nonadverse
Incarceration separates individuals loved ones making re-entry into society more challenging,SUPPORT,adverse
Difficulty accessing reliable internet service negatively impacting ability complete online job applications school assignments telehealth visits stay connected loved ones during pandemic restrictions,"HOUSING,EMPLOYMENT","adverse,adverse"
Certain medications may cause drowsiness or other side effects that impair driving abilities leaving few alternatives besides relying on others,TRANSPORTATION,adverse
Career transition being considered after years spent in high-stress environment taking toll physical well-being expressed by PT,EMPLOYMENT,nonadverse
Patients living alone often report fear falling becoming injured without anyone nearby help,SUPPORT,adverse
Living far away from healthcare facilities making it difficult for patients without access vehicles or public transit options,TRANSPORTATION,adverse
Frequent hospitalizations require ongoing follow-up visits but distance between home & facility creates logistical problems,TRANSPORTATION,adverse
Challenges associated with managing chronic illness while maintaining steady employment discussed between physician & patient,EMPLOYMENT,nonadverse
Unable find suitable long-term solution accommodate growing family size leading overcrowding unsafe sleeping arrangements,HOUSING,adverse
Patient is experiencing financial stress following recent job loss.,EMPLOYMENT,adverse
Struggling navigate complicated legal processes associated with divorce child custody proceedings while also maintaining stable housing arrangements,"HOUSING,RELATIONSHIP,PARENT","adverse,adverse,adverse"
Pt arrived alone today but mentioned that she has a supportive girlfriend who helps her manage her anxiety symptoms.,"RELATIONSHIP,SUPPORT","nonadverse,nonadverse"
Grandchild spends weekends visiting grandparents who reside assisted living facility,SUPPORT,nonadverse
Parents attend school meetings advocating for child’s special education needs,SUPPORT,nonadverse
Volunteer organization arranges transportation service transporting elderly residents without access reliable transportation,SUPPORT,nonadverse
Workplace harassment experienced female employee shared concerns about retaliation if complaint filed against supervisor per patients report,EMPLOYMENT,nonadverse
Working retail sales associate popular clothing store chain specializing outdoor gear equipment,EMPLOYMENT,nonadverse
Currently staying at homeless shelter but struggling find permanent solution given limited resources available through social services programs,HOUSING,adverse
Limited financial resources preventing pt from accessing adequate healthcare food security transportation other basic necessities required maintain good quality life,HOUSING,adverse
Pregnant patient expressing concern over the possibility of preterm labor due to previous history.,PARENT,adverse
Fear eviction if request necessary repairs from landlord such as fixing leaky roof or faulty electrical wiring,HOUSING,adverse
"Partner attended appointment virtually via telemedicine platform, providing valuable input on medication management changes needed .","RELATIONSHIP,SUPPORT","nonadverse,nonadverse"
Patient feels that their illness is causing them to be a burden on those around them,SUPPORT,adverse
Unable find suitable childcare arrangement while working night shift causing significant strain on family life according pt report,"EMPLOYMENT,PARENT","nonadverse,adverse"
Chief financial officer leading finance department major corporation responsible budgeting forecasting,EMPLOYMENT,nonadverse
Unemployment has been the primary source of income for this patient over past two months; they express concern about making ends meet.,EMPLOYMENT,adverse
Some areas lack sidewalks making walking unsafe especially during inclement weather,TRANSPORTATION,adverse
Workplace injury sustained last month still impacting daily activities including ability perform essential duties required current role,EMPLOYMENT,nonadverse
Social media use among older adults remains relatively low limiting potential connections online,SUPPORT,adverse
Workplace harassment experienced female employee shared concerns about retaliation if complaint filed against supervisor per patients report,EMPLOYMENT,nonadverse
Inability afford transportation costs associated with medical appointments creates financial strain on families,TRANSPORTATION,adverse
Has held position senior vice president marketing communications global consulting firm headquartered London,EMPLOYMENT,nonadverse
"Patient works as an electrician for local utility company, responsible maintaining power lines throughout surrounding communities",EMPLOYMENT,nonadverse
Patient states that they have been with their partner for 10 years and are considering starting a family together.,RELATIONSHIP,nonadverse
"Separated couple talk honestly about issues surrounding co-parenting dynamics, including disagreements around discipline","RELATIONSHIP,PARENT","adverse,adverse"
Married couple sought guidance around sexual dysfunction related side effects of antidepressant medication,RELATIONSHIP,nonadverse
Mental health stigma prevents some people seeking help they need leading increased feelings loneliness,SUPPORT,adverse
Crowded living spaces exacerbating respiratory allergies asthma symptoms,HOUSING,adverse
Currently couch surfing among friends and family members' homes temporarily while searching for affordable housing options.,"HOUSING,SUPPORT","adverse,nonadverse"
Pregnant patient expressing concerns over gestational diabetes risk due to previous history ,PARENT,adverse
Divorcee confides in physician regarding sense guilt she feels over calling off wedding,RELATIONSHIP,adverse
Local church congregation hosts clothing drive collecting gently used items donate local shelter,SUPPORT,nonadverse
Business consultant advising companies strategy planning operations improvement initiatives,EMPLOYMENT,nonadverse
Partnership dynamic discussed at length following diagnosis of sexually transmitted infection (STI) within couple,RELATIONSHIP,nonadverse
"Widowed woman shares memories of husband, expressing gratitude for time they shared together",RELATIONSHIP,adverse
Spouse helps manage finances during period of unemployment due to illness,"SUPPORT,RELATIONSHIP","nonadverse,nonadverse"
Neighbor offers assistance with household chores such as laundry or cleaning when pt unable due to disability,SUPPORT,nonadverse
She teaches high school English literature courses full-time during weekdays while also tutoring students on weekends,EMPLOYMENT,nonadverse
Patient mentioned having difficulty sleeping since moving in with new partner last month,RELATIONSHIP,nonadverse
Career transition being considered after years spent in high-stress environment taking toll physical well-being expressed by PT,EMPLOYMENT,nonadverse
Housing insecurity contributing factors mental health challenges such as anxiety depression,HOUSING,adverse
"Widower shares memories his wife, expressing gratitude for time they shared together",RELATIONSHIP,adverse
Limited access transportation making it difficult attend medical appointments work/school necessary maintain stable income and health outcomes,TRANSPORTATION,adverse
Patient reports being happily married but struggling with feelings associated w/ menopause-related mood swings,RELATIONSHIP,nonadverse
Patient discusses feeling overwhelmed by the prospect of being a single parent after separation from partner,"RELATIONSHIP,PARENT","adverse,adverse"
The patient is employed by the government agency responsible for managing national parks throughout the country,EMPLOYMENT,nonadverse
Partner assists with mobility devices such as wheelchair or walker helping pt navigate everyday life,"SUPPORT,RELATIONSHIP","nonadverse,nonadverse"
Limited access transportation options preventing reliable attendance scheduled shifts noted as barrier achieving stable income stream per patients report,"EMPLOYMENT,TRANSPORTATION","adverse,adverse"
Pt arrived with her boyfriend who provided additional medical history information about her allergies.,"RELATIONSHIP,SUPPORT","nonadverse,nonadverse"
Discussion surrounding reasonable accommodation requests made known employer related medical condition had negative outcome according PT feedback,EMPLOYMENT,nonadverse
Single parent expresses frustration over lack of support from ex-partner in raising child together,"RELATIONSHIP,PARENT","adverse,adverse"
"Father-of-two discusses financial stressors brought on by recent split, including child support payments","RELATIONSHIP,PARENT","adverse,adverse"
Pt reports being forced leave previous residence due to gentrification process displacing low-income residents in favor wealthier newcomers,HOUSING,adverse
"Expecting couple ask questions related baby-proofing home before arrival"".","PARENT,RELATIONSHIP","adverse,nonadverse"
Local church congregation prepares meals delivering them directly families facing hardship,SUPPORT,nonadverse
Divorced patient shares concerns over impact breakup may have had on mental health,RELATIONSHIP,adverse
Families caring disabled children must navigate complex systems like Medicaid while also ensuring their child gets proper care management,TRANSPORTATION,adverse
 Foster parent seeks advice related managing sibling rivalry between two foster children.,PARENT,adverse
A shortage affordable housing close hospitals/clinics means longer commutes more expensive taxi fares,"TRANSPORTATION,HOUSING","adverse,adverse"
Entrepreneur owning several successful businesses including boutique hotel luxury spa fine dining establishment,EMPLOYMENT,nonadverse
Patient reports feeling overwhelmed trying to manage both a full-time job and caring for elderly parent at home.,EMPLOYMENT,"nonadverse,adverse"
Patient discloses past experiences where they felt unsupported by former partner during times when needed them most,"RELATIONSHIP,SUPPORT","adverse,adverse"
Experiencing difficulty navigating complex application process required qualify subsidized housing programs,HOUSING,adverse
Coworker covers shifts without hesitation colleague requires extended leave work due personal emergency,"SUPPORT,EMPLOYMENT","nonadverse,nonadverse"
Certain medications make operating motor vehicles unsafe leaving few alternatives besides relying on others,TRANSPORTATION,adverse
Couple going through break-up explore different living arrangements that would be most beneficial for their family dynamic,RELATIONSHIP,adverse
Architect designing buildings structures ranging size complexity residential commercial projects,EMPLOYMENT,nonadverse
Unable find suitable childcare arrangement while working night shift causing significant strain on family life according pt report,"EMPLOYMENT,PARENT","nonadverse,adverse"
Seeking guidance around ways can better communicate needs and boundaries when it comes dating post-divorce,RELATIONSHIP,adverse
Homelessness resulting loss job income inability maintain regular medical appointments manage chronic illnesses effectively,"HOUSING,EMPLOYMENT","adverse,adverse"
Caregivers who are responsible for loved ones may feel overwhelmed and unsupported themselves,SUPPORT,adverse
Some patients may have to travel long distances just get access specialized care not available locally,TRANSPORTATION,adverse
The cost of gas has risen significantly over recent years creating financial barriers preventing many low-income families accessing necessary health services,TRANSPORTATION,adverse
Recently widowed pt talked openly about anger felt towards God following spouse's sudden passing.,RELATIONSHIP,adverse
Separating partners explore different living arrangements that would be most beneficial for their family dynamic,RELATIONSHIP,adverse
Patient reports being evicted from their previous residence due to inability to pay rent on time.,HOUSING,adverse
Distant relative sends thoughtful bouquet of flowers brightening patient's room during hospital stay,SUPPORT,nonadverse
Difficulty finding employment due to lack of experience within desired field discussed during appointment today; pt seeking guidance on how best to approach potential employers moving forward.,EMPLOYMENT,adverse
Caregivers who are responsible for loved ones may feel overwhelmed and unsupported themselves,SUPPORT,adverse
LGBTQ+ patients requested resources available locally supporting same-sex couples interested in adoption process,RELATIONSHIP,nonadverse
Difficulty finding employment due to lack of experience within desired field discussed during appointment today; pt seeking guidance on how best to approach potential employers moving forward.,EMPLOYMENT,adverse
People living alone without family nearby find it hard arranging rides especially during emergencies,"TRANSPORTATION,SUPPORT","adverse,adverse"
Recently divorced woman explores options counseling as means of coping with grief and loss following end long-term relationship,RELATIONSHIP,adverse
Political analyst providing commentary analysis political events policies news outlets,EMPLOYMENT,nonadverse
"Scheduling conflicts arise when multiple appointments are needed in a single day, but transportation options only allow for one trip",TRANSPORTATION,adverse
Single mother expresses frustration over lack childcare resources available during work hours,"RELATIONSHIP,PARENT","adverse,adverse"
Manages family-owned auto repair shop that services vehicles within fifty-mile radius,EMPLOYMENT,nonadverse
Law enforcement officer responsible enforcing laws regulations state park system,EMPLOYMENT,nonadverse
Workplace harassment experienced female employee shared concerns about retaliation if complaint filed against supervisor per patients report,EMPLOYMENT,nonadverse
Financial stress resulting from recent divorce causing difficulty managing expenses while working part-time noted by patient during visit today,"EMPLOYMENT,RELATIONSHIP","adverse,adverse"
"Man whose wife passed away unexpectedly shares memories her, expressing gratitude for time they shared together",RELATIONSHIP,adverse
Married couple sought guidance around sexual dysfunction related side effects of antidepressant medication,RELATIONSHIP,nonadverse
The cost gas has risen significantly over recent years creating financial barriers preventing many low-income families accessing necessary health services,TRANSPORTATION,adverse
Technical writer producing manuals guides technical documentation explaining complex concepts processes,EMPLOYMENT,nonadverse
Spouse helps manage household finances budgeting for unexpected medical expenses,"SUPPORT,RELATIONSHIP","nonadverse,nonadverse"
Addiction disorders commonly co-occur mental illnesses leaving patients without a stable support system to rely on,SUPPORT,adverse
"Fiancee joined call midway through appointment, expressing gratitude towards provider’s thoroughness thus far",RELATIONSHIP,nonadverse
Woman who recently ended engagement expresses desire for more time alone focus personal growth,RELATIONSHIP,adverse
Serves executive director non-profit organization dedicated providing resources education underprivileged youth inner city schools,EMPLOYMENT,nonadverse
Patient discussed concerns over fertility treatment options available to same-sex couples,RELATIONSHIP,nonadverse
Couple seeking advice on how best to manage diabetes together as they prepare for retirement travel plans,RELATIONSHIP,nonadverse
LGBTQ+ patients requested resources available locally supporting same-sex couples interested in adoption process,RELATIONSHIP,nonadverse
Homelessness resulting loss job income inability maintain regular medical appointments manage chronic illnesses effectively,"HOUSING,EMPLOYMENT","adverse,adverse"
Married couple sought guidance around sexual dysfunction related side effects of antidepressant medication,RELATIONSHIP,nonadverse
Married couple sought guidance around sexual dysfunction related side effects of antidepressant medication,RELATIONSHIP,nonadverse
Custodial grandmother reports granddaughter experiencing bullying at school.,PARENT,adverse
Financial hardship resulting from unexpected medical bills impacting ability cover basic living expenses reported by pt at this time,HOUSING,adverse
Couple going through break-up detail financial stresses brought on by legal fees and other expenses associated with separation process,RELATIONSHIP,adverse
Transportation challenges often lead patients feeling overwhelmed stressed which negatively impacts overall well-being,TRANSPORTATION,adverse
Family member provides transportation to medical appointments ensuring timely arrival.,SUPPORT,nonadverse
Difficulty navigating complex public transit systems leading many patients feeling overwhelmed when trying get around town,TRANSPORTATION,adverse
Long-time neighbor brings over homemade meals every week ensuring pt has enough food supplies,SUPPORT,nonadverse
Experiencing discrimination based race ethnicity religion sexual orientation gender identity when attempting secure rental properties,HOUSING,adverse
Spouse helps manage medication schedule ensuring correct dosages are taken each day,"SUPPORT,RELATIONSHIP","nonadverse,nonadverse"
Widower discusses challenges he has faced trying to maintain social connections after wife’s passing,RELATIONSHIP,adverse
"Unable find suitable employment following layoff last year, leading to ongoing financial insecurity reported by pt at this time.",EMPLOYMENT,adverse
Inability to afford gas and transport costs associated with regular medical visits resulting in sporadic attendance at appointments.,TRANSPORTATION,adverse
" Parent shares that she has been diagnosed recently as bipolar and wants some suggestions on coping mechanisms while parenting young kids"".",PARENT,adverse
Couple discussing options around adoption during consultation visit,RELATIONSHIP,nonadverse
Dental hygienist cleaning teeth performing routine check-ups dental office,EMPLOYMENT,nonadverse
Partner assists with physical therapy exercises at home,"SUPPORT,RELATIONSHIP","nonadverse,nonadverse"
Owner small independent bookstore that specializes rare and hard-to-find titles,EMPLOYMENT,nonadverse
Certain medications make operating motor vehicles unsafe leaving few alternatives besides relying on others,TRANSPORTATION,adverse
A shortage of accessible taxis makes getting around more challenging than it should be for those mobility issues,TRANSPORTATION,adverse
The patient reported feeling anxious due to recent marital problems.,RELATIONSHIP,nonadverse
The patient's wife was present during the appointment and expressed concern over his high blood pressure readings.,RELATIONSHIP,nonadverse
"Living near environmental hazards (e.g., industrial pollution, toxic waste sites) increasing risk exposure harmful substances detrimental health outcomes",HOUSING,adverse
Long wait times at bus stops leave elderly individuals exposed harsh weather conditions increasing risk illness,TRANSPORTATION,adverse
Many seniors report difficulty walking long distances which makes using public transit challenging,TRANSPORTATION,adverse
Family conflicts may prevent some individuals from receiving adequate care at home,SUPPORT,adverse
Unable find suitable long-term solution accommodate growing family size leading overcrowding unsafe sleeping arrangements,HOUSING,adverse
Couples counseling referral made following discussion surrounding impact of PTSD symptoms on relationship dynamics,RELATIONSHIP,nonadverse
Family member provides respite care allowing primary caregiver time off from daily responsibilities,SUPPORT,nonadverse
Limited availability parking spaces near healthcare facilities creates problems for those driving themselves,TRANSPORTATION,adverse
Couple discussing options around surrogacy during consultation visit,RELATIONSHIP,nonadverse
"Single mom attending appointment with her two girls (ages 7,10) who have been arguing lately.","PARENT,RELATIONSHIP","adverse,adverse"
Pt and spouse shared concerns re: impact of recent job loss on ability to afford necessary medications & treatments,"RELATIONSHIP,EMPLOYMENT","nonadverse,adverse"
Pt reports being forced leave previous residence due to landlord selling property without adequate notice,HOUSING,adverse
Unemployment or retirement can contribute loss identity and decreased opportunities interact with peers,EMPLOYMENT,adverse
Neighbor checks in daily to ensure medication is being taken correctly as prescribed by physician,SUPPORT,nonadverse
"Parents worried about toddler's delayed speech development"".",PARENT,adverse
Challenges associated with managing mental health condition while maintaining steady employment discussed between physician & patient,EMPLOYMENT,adverse
Social isolation loneliness stemming inability host friends/family members due cramped quarters unsuitable entertaining spaces,HOUSING,adverse
Patients with mental health conditions may struggle using public transit due anxiety or other symptoms,TRANSPORTATION,adverse
Patient admits difficulty in trusting new partners after experiencing infidelity within previous marriage,RELATIONSHIP,adverse
The patient reports feeling like nobody understands what they're going through.,SUPPORT,adverse
He recently started his own landscaping business after many years of experience working under another landscaper,EMPLOYMENT,nonadverse
Restaurant owner operating successful chain eateries serving cuisine inspired cultures across globe,EMPLOYMENT,nonadverse
Patients living alone often report fear falling becoming injured without anyone nearby help,SUPPORT,adverse
Difficulty navigating unfamiliar neighborhoods leads anxiety frustration among visitors new city,TRANSPORTATION,adverse
